transaction_id,customer_id,product_id,quantity,unit_price,total_amount,transaction_date,source_file
33,1340,14,3,241.04,723.12,2018-10-05,transactions.csv
34,9935,31,3,223.69,671.07,2020-07-02,transactions.csv
35,3202,11,4,331.44,1325.76,2015-11-13,transactions.csv
36,3067,22,1,264.24,264.24,2017-01-14,transactions.csv
37,7531,11,3,235.22,705.66,2023-07-12,transactions.csv
38,4483,1,7,131.67,921.69,2016-01-19,transactions.csv
39,4720,43,2,353.77,707.54,2020-04-18,transactions.csv
40,6129,16,3,271.44,814.32,2021-05-29,transactions.csv
41,2529,3,2,173.3,346.6,2022-05-20,transactions.csv
42,692,39,3,453.72,1361.16,2015-01-07,transactions.csv
43,2326,23,1,38.05,38.05,2020-08-29,transactions.csv
44,2727,14,9,428.42,3855.78,2021-11-16,transactions.csv
45,2432,14,6,323.69,1942.14,2023-02-07,transactions.csv
46,7443,17,8,127.58,1020.64,2024-08-29,transactions.csv
47,8190,6,5,293.06,1465.3,2024-09-10,transactions.csv
48,4418,22,8,459.88,3679.04,2019-06-30,transactions.csv
49,8985,24,4,487.02,1948.08,2020-08-17,transactions.csv
50,3459,35,5,142.11,710.55,2021-10-01,transactions.csv
51,1489,11,1,379.63,379.63,2020-04-02,transactions.csv
52,4777,24,9,107.28,965.52,2022-04-08,transactions.csv
53,331,22,4,209.59,838.36,2020-10-22,transactions.csv
54,8267,39,5,163.85,819.25,2020-03-11,transactions.csv
55,5750,34,7,168.09,1176.63,2020-12-22,transactions.csv
56,318,20,5,170.34,851.7,2017-06-30,transactions.csv
57,2017,11,9,309.55,2785.95,2020-10-20,transactions.csv
58,7062,49,6,398.28,2389.68,2015-02-17,transactions.csv
59,4510,22,7,260.34,1822.38,2019-09-16,transactions.csv
60,6580,17,9,233.45,2101.05,2024-10-12,transactions.csv
61,8546,19,3,50.07,150.21,2021-05-11,transactions.csv
62,4719,36,6,12.18,73.08,2015-01-15,transactions.csv
63,3650,40,5,116.59,582.95,2024-11-04,transactions.csv
64,905,4,4,248.89,995.56,2019-09-25,transactions.csv
65,4146,41,2,381.16,762.32,2018-01-09,transactions.csv
66,6699,35,4,174.73,698.92,2023-08-23,transactions.csv
67,8965,8,3,183.03,549.09,2022-12-30,transactions.csv
68,107,31,1,194.85,194.85,2017-08-05,transactions.csv
69,6047,40,10,16.06,160.6,2020-03-30,transactions.csv
70,292,19,1,283.95,283.95,2018-10-14,transactions.csv
71,5265,26,9,196.56,1769.04,2017-03-15,transactions.csv
72,8868,20,5,205.7,1028.5,2021-10-13,transactions.csv
73,2568,46,7,446.37,3124.59,2016-04-28,transactions.csv
74,5805,17,5,170.62,853.1,2019-07-24,transactions.csv
75,6880,12,8,272.03,2176.24,2023-03-25,transactions.csv
76,4196,33,10,10.05,100.5,2019-09-28,transactions.csv
77,6752,9,8,92.59,740.72,2020-08-20,transactions.csv
78,6780,48,6,475.85,2855.1,2018-07-13,transactions.csv
79,9996,3,8,232.39,1859.12,2017-02-02,transactions.csv
80,4573,46,3,241.9,725.7,2023-09-26,transactions.csv
81,1150,32,6,162.77,976.62,2017-11-19,transactions.csv
82,5878,6,3,487.66,1462.98,2021-12-05,transactions.csv
83,7617,6,7,431.33,3019.31,2015-06-15,transactions.csv
84,1632,39,1,114.61,114.61,2016-09-27,transactions.csv
85,7778,44,1,166.54,166.54,2019-01-05,transactions.csv
86,8539,50,2,383.12,766.24,2017-01-10,transactions.csv
87,5702,4,7,181.21,1268.47,2021-03-09,transactions.csv
88,7533,27,10,392.51,3925.1,2024-09-15,transactions.csv
89,6666,36,5,478.33,2391.65,2021-10-06,transactions.csv
90,8627,1,7,143.89,1007.23,2016-08-20,transactions.csv
91,2854,11,8,306.09,2448.72,2018-10-22,transactions.csv
92,9045,46,1,30.47,30.47,2015-10-19,transactions.csv
93,1248,43,5,344.4,1722.0,2017-02-28,transactions.csv
94,8181,33,2,138.82,277.64,2022-10-15,transactions.csv
95,9849,2,5,271.71,1358.55,2023-09-10,transactions.csv
96,7344,5,4,16.01,64.04,2017-09-14,transactions.csv
97,5509,32,7,148.87,1042.09,2019-12-14,transactions.csv
98,7032,18,3,342.47,1027.41,2021-11-19,transactions.csv
99,4855,32,1,85.57,85.57,2023-08-01,transactions.csv
100,421,26,6,233.11,1398.66,2020-10-08,transactions.csv
101,4728,43,10,81.85,818.5,2024-06-27,transactions.csv
102,2146,35,6,426.37,2558.22,2018-07-22,transactions.csv
103,9467,42,7,24.16,169.12,2020-09-13,transactions.csv
104,5364,43,7,30.77,215.39,2020-04-07,transactions.csv
105,682,34,8,203.41,1627.28,2024-01-12,transactions.csv
106,7694,15,1,425.64,425.64,2024-12-19,transactions.csv
107,2916,2,9,45.4,408.6,2023-03-25,transactions.csv
108,2661,9,3,217.99,653.97,2018-04-29,transactions.csv
109,4165,47,9,463.5,4171.5,2020-07-28,transactions.csv
110,3454,46,4,498.59,1994.36,2024-06-05,transactions.csv
111,3521,20,2,339.74,679.48,2022-11-05,transactions.csv
112,2996,28,10,187.95,1879.5,2018-02-12,transactions.csv
113,1560,21,6,47.07,282.42,2016-07-27,transactions.csv
114,8056,37,2,101.79,203.58,2015-03-19,transactions.csv
115,5053,36,3,324.2,972.6,2023-09-02,transactions.csv
116,4769,49,10,149.83,1498.3,2019-01-02,transactions.csv
117,7506,3,6,183.73,1102.38,2017-11-28,transactions.csv
118,4661,26,2,216.64,433.28,2019-05-03,transactions.csv
119,1693,30,5,472.85,2364.25,2018-10-10,transactions.csv
120,8694,33,4,120.73,482.92,2024-10-08,transactions.csv
121,2600,26,5,120.76,603.8,2015-01-22,transactions.csv
122,9899,22,4,490.93,1963.72,2021-11-04,transactions.csv
123,8702,41,7,146.8,1027.6,2022-12-28,transactions.csv
124,8380,15,6,106.95,641.7,2023-10-10,transactions.csv
125,6224,38,6,481.04,2886.24,2022-07-01,transactions.csv
126,1825,45,7,302.7,2118.9,2017-12-17,transactions.csv
127,148,8,4,247.49,989.96,2022-02-04,transactions.csv
128,3528,49,10,292.87,2928.7,2024-01-27,transactions.csv
129,7735,49,6,378.31,2269.86,2016-06-07,transactions.csv
130,9263,13,9,19.62,176.58,2023-08-15,transactions.csv
131,3206,30,6,374.04,2244.24,2022-07-12,transactions.csv
132,8429,25,4,278.48,1113.92,2019-09-03,transactions.csv
133,3945,49,3,342.49,1027.47,2015-10-23,transactions.csv
134,208,44,9,373.58,3362.22,2015-08-04,transactions.csv
135,2131,48,6,488.47,2930.82,2016-11-05,transactions.csv
136,4126,33,8,294.2,2353.6,2023-01-24,transactions.csv
137,7521,16,1,146.58,146.58,2023-11-06,transactions.csv
138,5424,13,10,258.21,2582.1,2021-10-09,transactions.csv
139,2763,35,7,205.49,1438.43,2023-11-11,transactions.csv
140,7460,14,4,93.42,373.68,2017-09-02,transactions.csv
141,9186,8,5,53.23,266.15,2020-07-02,transactions.csv
142,7015,13,10,209.86,2098.6,2019-08-07,transactions.csv
143,8644,25,5,23.0,115.0,2024-07-16,transactions.csv
144,1321,43,6,59.75,358.5,2020-02-13,transactions.csv
145,652,4,4,464.06,1856.24,2024-03-15,transactions.csv
146,3122,8,1,54.55,54.55,2021-06-06,transactions.csv
147,1286,32,1,193.74,193.74,2016-06-22,transactions.csv
148,7920,12,8,87.37,698.96,2023-07-09,transactions.csv
149,3963,31,4,79.78,319.12,2023-09-24,transactions.csv
150,477,2,9,96.29,866.61,2022-02-26,transactions.csv
151,6027,24,3,330.88,992.64,2022-11-07,transactions.csv
152,9746,14,10,204.36,2043.6,2023-02-08,transactions.csv
153,5416,34,10,185.39,1853.9,2018-03-05,transactions.csv
154,8692,16,6,448.95,2693.7,2019-07-09,transactions.csv
155,3891,33,5,437.52,2187.6,2016-03-23,transactions.csv
156,22,8,8,164.12,1312.96,2020-09-16,transactions.csv
157,9265,33,2,42.48,84.96,2017-10-10,transactions.csv
158,1208,8,7,6.94,48.58,2022-12-29,transactions.csv
159,7445,18,1,468.27,468.27,2024-01-31,transactions.csv
160,7878,3,5,364.36,1821.8,2015-01-03,transactions.csv
161,3523,34,10,148.17,1481.7,2022-11-30,transactions.csv
162,8189,8,8,271.75,2174.0,2016-08-16,transactions.csv
163,3979,34,8,314.79,2518.32,2023-02-25,transactions.csv
164,4380,21,6,410.93,2465.58,2024-08-30,transactions.csv
165,5431,48,1,115.7,115.7,2023-12-09,transactions.csv
166,6208,47,8,81.66,653.28,2015-08-01,transactions.csv
167,5204,38,8,358.19,2865.52,2022-04-25,transactions.csv
168,7281,10,3,94.41,283.23,2019-04-07,transactions.csv
169,4863,14,3,465.42,1396.26,2018-03-30,transactions.csv
170,3634,34,6,138.65,831.9,2023-02-22,transactions.csv
171,920,2,9,299.71,2697.39,2018-11-25,transactions.csv
172,5679,5,6,253.04,1518.24,2017-10-06,transactions.csv
173,6940,39,4,380.18,1520.72,2023-08-19,transactions.csv
174,9996,42,2,258.99,517.98,2020-12-21,transactions.csv
175,7257,12,6,290.28,1741.68,2020-11-09,transactions.csv
176,2926,16,7,311.84,2182.88,2021-09-02,transactions.csv
177,8921,5,1,19.07,19.07,2016-10-28,transactions.csv
178,3049,17,10,178.58,1785.8,2019-05-04,transactions.csv
179,1526,22,1,117.27,117.27,2017-11-16,transactions.csv
180,6558,16,3,393.67,1181.01,2016-11-06,transactions.csv
181,4498,30,6,85.4,512.4,2023-11-25,transactions.csv
182,8311,16,10,393.07,3930.7,2019-02-07,transactions.csv
183,7131,36,4,316.08,1264.32,2023-07-12,transactions.csv
184,8554,7,10,419.24,4192.4,2019-05-14,transactions.csv
185,2536,44,4,223.05,892.2,2015-05-24,transactions.csv
186,8054,1,5,428.61,2143.05,2023-01-12,transactions.csv
187,622,5,8,24.25,194.0,2019-11-09,transactions.csv
188,3699,35,1,489.58,489.58,2023-03-13,transactions.csv
189,1484,11,9,185.78,1672.02,2017-11-12,transactions.csv
190,517,31,6,346.33,2077.98,2017-05-04,transactions.csv
191,2091,45,4,435.32,1741.28,2022-07-21,transactions.csv
192,4330,1,9,224.37,2019.33,2017-03-15,transactions.csv
193,5096,33,5,237.5,1187.5,2023-09-21,transactions.csv
194,4038,33,4,132.17,528.68,2022-06-02,transactions.csv
195,5248,22,7,73.18,512.26,2015-12-22,transactions.csv
196,3210,13,5,210.52,1052.6,2022-03-10,transactions.csv
197,9222,21,6,395.71,2374.26,2022-03-24,transactions.csv
198,7340,6,5,219.18,1095.9,2018-10-11,transactions.csv
199,3049,39,10,198.98,1989.8,2019-12-14,transactions.csv
200,1189,6,10,44.06,440.6,2019-12-16,transactions.csv
201,1972,49,10,462.59,4625.9,2015-12-17,transactions.csv
202,253,42,5,145.36,726.8,2017-01-31,transactions.csv
203,7590,22,10,300.19,3001.9,2020-08-20,transactions.csv
204,1466,36,9,52.9,476.1,2023-05-16,transactions.csv
205,9321,16,5,333.37,1666.85,2023-01-20,transactions.csv
206,9132,19,10,484.15,4841.5,2023-01-02,transactions.csv
207,8945,35,9,425.46,3829.14,2018-05-12,transactions.csv
208,4762,37,8,171.8,1374.4,2015-07-04,transactions.csv
209,637,4,1,391.88,391.88,2017-10-30,transactions.csv
210,6065,42,7,37.83,264.81,2025-01-01,transactions.csv
211,1365,22,5,78.56,392.8,2018-02-05,transactions.csv
212,9548,33,8,320.43,2563.44,2015-10-10,transactions.csv
213,5715,39,7,364.84,2553.88,2021-05-05,transactions.csv
214,6899,23,2,213.36,426.72,2016-07-02,transactions.csv
215,4401,14,8,162.26,1298.08,2019-05-12,transactions.csv
216,8501,9,7,397.08,2779.56,2024-12-25,transactions.csv
217,2499,29,7,264.33,1850.31,2023-05-15,transactions.csv
218,1981,45,7,40.04,280.28,2022-04-23,transactions.csv
219,8338,50,3,395.61,1186.83,2023-05-09,transactions.csv
220,3486,42,5,362.92,1814.6,2018-11-13,transactions.csv
221,3186,49,6,214.66,1287.96,2017-10-01,transactions.csv
222,2210,24,10,376.11,3761.1,2024-06-27,transactions.csv
223,9354,24,1,203.48,203.48,2017-09-15,transactions.csv
224,6111,25,1,37.78,37.78,2015-05-05,transactions.csv
225,2005,23,6,120.82,724.92,2021-08-19,transactions.csv
226,4455,15,10,236.13,2361.3,2017-11-13,transactions.csv
227,2048,47,6,16.18,97.08,2019-12-28,transactions.csv
228,6008,48,9,471.81,4246.29,2024-10-08,transactions.csv
229,3066,46,9,89.02,801.18,2018-05-06,transactions.csv
230,2807,19,6,390.26,2341.56,2024-02-22,transactions.csv
231,9285,25,10,374.1,3741.0,2017-11-12,transactions.csv
232,4731,45,4,161.97,647.88,2015-04-12,transactions.csv
233,4202,9,8,206.44,1651.52,2016-08-08,transactions.csv
234,2964,8,6,106.77,640.62,2020-07-10,transactions.csv
235,3191,26,3,118.58,355.74,2018-09-03,transactions.csv
236,3999,16,6,312.84,1877.04,2017-03-24,transactions.csv
237,7647,32,10,368.64,3686.4,2020-07-23,transactions.csv
238,4835,14,5,412.93,2064.65,2017-07-26,transactions.csv
239,3339,30,4,308.83,1235.32,2018-07-07,transactions.csv
240,9209,36,8,27.66,221.28,2016-02-26,transactions.csv
241,4321,25,6,489.91,2939.46,2020-08-22,transactions.csv
242,4924,46,10,279.61,2796.1,2015-08-13,transactions.csv
243,6473,13,4,432.39,1729.56,2016-04-14,transactions.csv
244,9100,29,2,130.01,260.02,2021-08-09,transactions.csv
245,6000,29,8,499.75,3998.0,2019-04-02,transactions.csv
246,1342,21,5,418.74,2093.7,2023-03-08,transactions.csv
247,4684,18,7,280.68,1964.76,2022-08-30,transactions.csv
248,8843,1,3,199.87,599.61,2021-06-19,transactions.csv
249,3240,28,6,496.36,2978.16,2021-12-05,transactions.csv
250,4727,45,6,294.21,1765.26,2021-04-20,transactions.csv
251,3426,1,7,18.71,130.97,2018-01-23,transactions.csv
252,9093,22,5,102.22,511.1,2018-06-25,transactions.csv
253,4368,35,8,128.48,1027.84,2015-12-25,transactions.csv
254,3625,14,9,472.79,4255.11,2017-11-14,transactions.csv
255,6250,48,6,118.93,713.58,2019-04-12,transactions.csv
256,3042,15,8,448.09,3584.72,2015-11-26,transactions.csv
257,6014,43,10,372.6,3726.0,2023-08-21,transactions.csv
258,855,39,10,451.33,4513.3,2018-02-12,transactions.csv
259,4976,33,2,425.24,850.48,2016-09-27,transactions.csv
260,7948,4,1,440.47,440.47,2015-07-26,transactions.csv
261,88,12,2,478.26,956.52,2016-10-20,transactions.csv
262,7744,1,3,264.69,794.07,2023-05-13,transactions.csv
263,9242,13,9,363.77,3273.93,2018-08-07,transactions.csv
264,276,19,10,163.32,1633.2,2015-05-15,transactions.csv
265,7453,40,8,115.56,924.48,2017-01-05,transactions.csv
266,2878,22,5,425.63,2128.15,2018-05-18,transactions.csv
267,7598,34,8,231.16,1849.28,2020-01-21,transactions.csv
268,3329,42,8,425.05,3400.4,2024-09-20,transactions.csv
269,8046,8,10,386.28,3862.8,2015-05-07,transactions.csv
270,106,6,9,274.76,2472.84,2015-03-04,transactions.csv
271,8127,16,6,177.71,1066.26,2018-07-05,transactions.csv
272,2612,18,2,430.13,860.26,2018-10-02,transactions.csv
273,7747,4,10,64.24,642.4,2018-10-30,transactions.csv
274,2465,33,6,96.35,578.1,2018-11-10,transactions.csv
275,913,29,4,495.83,1983.32,2018-09-22,transactions.csv
276,5379,9,8,281.43,2251.44,2016-08-29,transactions.csv
277,9626,22,1,280.68,280.68,2017-04-19,transactions.csv
278,2699,41,5,472.1,2360.5,2020-06-21,transactions.csv
279,6213,32,6,114.29,685.74,2020-08-15,transactions.csv
280,8830,17,9,482.89,4346.01,2021-07-08,transactions.csv
281,4261,9,9,349.55,3145.95,2023-12-31,transactions.csv
282,7025,33,8,372.95,2983.6,2017-07-22,transactions.csv
283,9597,41,8,208.16,1665.28,2019-08-09,transactions.csv
284,1939,10,6,308.94,1853.64,2020-09-27,transactions.csv
285,2171,18,1,477.82,477.82,2022-01-10,transactions.csv
286,6868,45,1,353.58,353.58,2023-11-07,transactions.csv
287,1511,17,7,287.62,2013.34,2019-11-23,transactions.csv
288,3068,44,9,275.02,2475.18,2022-02-25,transactions.csv
289,9613,39,9,100.5,904.5,2018-07-07,transactions.csv
290,3237,4,7,185.18,1296.26,2019-10-31,transactions.csv
291,1177,6,5,192.05,960.25,2022-04-16,transactions.csv
292,5942,7,8,337.65,2701.2,2017-07-04,transactions.csv
293,5744,39,5,118.59,592.95,2016-04-26,transactions.csv
294,5572,5,4,112.23,448.92,2024-05-05,transactions.csv
295,1569,20,10,291.74,2917.4,2015-06-25,transactions.csv
296,3659,33,4,331.19,1324.76,2015-01-10,transactions.csv
297,3001,2,4,474.01,1896.04,2022-02-25,transactions.csv
298,7543,27,7,220.86,1546.02,2021-10-16,transactions.csv
299,632,49,4,282.26,1129.04,2021-10-19,transactions.csv
300,8125,48,1,141.46,141.46,2016-07-13,transactions.csv
301,771,20,4,147.19,588.76,2020-07-08,transactions.csv
302,2751,44,2,399.85,799.7,2021-04-12,transactions.csv
303,514,48,6,499.35,2996.1,2015-07-10,transactions.csv
304,6617,50,5,215.28,1076.4,2015-08-30,transactions.csv
305,4420,29,2,19.8,39.6,2021-08-02,transactions.csv
306,4416,29,9,457.31,4115.79,2024-01-22,transactions.csv
307,1312,9,5,31.54,157.7,2019-04-17,transactions.csv
308,3824,6,3,283.01,849.03,2016-08-06,transactions.csv
309,1251,27,5,497.36,2486.8,2017-06-15,transactions.csv
310,4802,19,9,360.81,3247.29,2020-10-16,transactions.csv
311,3576,50,4,414.92,1659.68,2020-06-23,transactions.csv
312,4390,44,2,377.53,755.06,2018-08-01,transactions.csv
313,6695,35,9,477.24,4295.16,2018-04-15,transactions.csv
314,3243,43,8,346.71,2773.68,2021-07-13,transactions.csv
315,8232,3,9,41.36,372.24,2015-01-11,transactions.csv
316,5789,28,5,49.29,246.45,2020-01-10,transactions.csv
317,7527,3,1,397.82,397.82,2020-07-25,transactions.csv
318,2458,10,10,377.06,3770.6,2015-03-27,transactions.csv
319,7784,8,3,69.39,208.17,2023-07-21,transactions.csv
320,4525,37,3,29.96,89.88,2024-10-26,transactions.csv
321,1891,21,8,139.47,1115.76,2023-07-11,transactions.csv
322,373,37,5,22.95,114.75,2019-12-23,transactions.csv
323,2415,8,5,405.67,2028.35,2022-05-17,transactions.csv
324,2067,32,3,401.44,1204.32,2017-01-25,transactions.csv
325,8063,14,5,326.93,1634.65,2015-11-15,transactions.csv
326,5672,23,4,293.17,1172.68,2020-04-03,transactions.csv
327,2609,18,3,96.17,288.51,2020-08-18,transactions.csv
328,781,17,10,302.18,3021.8,2021-01-24,transactions.csv
329,278,13,3,111.76,335.28,2016-09-07,transactions.csv
330,2696,48,2,50.69,101.38,2024-06-15,transactions.csv
331,4897,29,2,39.92,79.84,2023-06-10,transactions.csv
332,47,47,10,53.94,539.4,2020-09-05,transactions.csv
333,1064,22,1,335.77,335.77,2022-03-24,transactions.csv
334,9610,25,2,445.03,890.06,2016-08-30,transactions.csv
335,5774,30,4,202.62,810.48,2024-10-24,transactions.csv
336,8573,32,10,359.75,3597.5,2020-04-02,transactions.csv
337,4034,41,5,256.43,1282.15,2019-03-13,transactions.csv
338,1889,21,6,75.32,451.92,2022-07-29,transactions.csv
339,7060,49,6,494.45,2966.7,2022-07-30,transactions.csv
340,8571,13,1,348.87,348.87,2022-05-05,transactions.csv
341,4008,11,7,53.72,376.04,2023-05-03,transactions.csv
342,4500,48,10,327.68,3276.8,2018-06-11,transactions.csv
343,362,40,7,165.66,1159.62,2016-12-07,transactions.csv
344,6127,29,1,491.8,491.8,2019-11-23,transactions.csv
345,5488,46,4,209.48,837.92,2017-04-06,transactions.csv
346,288,26,6,460.44,2762.64,2022-08-21,transactions.csv
347,5145,21,6,398.23,2389.38,2020-06-09,transactions.csv
348,8347,38,10,321.98,3219.8,2017-04-25,transactions.csv
349,2445,30,8,428.09,3424.72,2024-07-26,transactions.csv
350,9859,25,4,313.94,1255.76,2023-06-21,transactions.csv
351,8150,28,6,345.43,2072.58,2015-01-08,transactions.csv
352,7656,42,7,322.19,2255.33,2024-10-07,transactions.csv
353,107,27,10,487.18,4871.8,2016-01-23,transactions.csv
354,3992,40,6,223.48,1340.88,2017-03-11,transactions.csv
355,6929,44,6,255.46,1532.76,2020-09-06,transactions.csv
356,1643,23,4,28.72,114.88,2019-02-04,transactions.csv
357,3598,8,4,489.8,1959.2,2015-09-12,transactions.csv
358,7178,8,3,432.81,1298.43,2021-05-21,transactions.csv
359,6267,18,7,139.05,973.35,2024-09-02,transactions.csv
360,583,34,10,128.09,1280.9,2018-11-20,transactions.csv
361,4021,5,9,475.07,4275.63,2023-09-30,transactions.csv
362,3984,44,3,311.83,935.49,2015-09-02,transactions.csv
363,9782,34,9,485.04,4365.36,2020-08-09,transactions.csv
364,3051,49,5,308.2,1541.0,2024-11-07,transactions.csv
365,9317,13,8,391.94,3135.52,2017-01-29,transactions.csv
366,4152,25,6,228.09,1368.54,2022-04-15,transactions.csv
367,3487,22,7,357.19,2500.33,2023-02-11,transactions.csv
368,9293,45,3,42.0,126.0,2023-04-12,transactions.csv
369,5239,15,7,475.73,3330.11,2018-03-15,transactions.csv
370,2635,22,6,112.42,674.52,2019-07-21,transactions.csv
371,9245,7,3,376.5,1129.5,2022-06-23,transactions.csv
372,5061,2,6,10.41,62.46,2018-03-30,transactions.csv
373,4614,50,4,214.9,859.6,2016-12-14,transactions.csv
374,5039,36,3,247.38,742.14,2015-06-05,transactions.csv
375,5925,44,2,313.85,627.7,2015-02-03,transactions.csv
376,6989,9,7,359.3,2515.1,2024-03-14,transactions.csv
377,2175,25,1,81.45,81.45,2019-05-27,transactions.csv
378,382,12,2,264.87,529.74,2018-05-24,transactions.csv
379,4259,49,6,286.07,1716.42,2020-07-05,transactions.csv
380,221,20,6,243.21,1459.26,2019-02-23,transactions.csv
381,7157,42,8,343.17,2745.36,2021-06-12,transactions.csv
382,4707,5,1,485.87,485.87,2023-06-20,transactions.csv
383,4266,23,9,421.29,3791.61,2015-09-22,transactions.csv
384,3712,50,4,344.71,1378.84,2024-08-05,transactions.csv
385,112,48,9,387.54,3487.86,2015-04-11,transactions.csv
386,5958,29,9,43.49,391.41,2023-10-12,transactions.csv
387,1139,50,7,184.22,1289.54,2018-08-20,transactions.csv
388,7097,13,2,416.79,833.58,2015-01-10,transactions.csv
389,5185,5,3,388.59,1165.77,2021-03-18,transactions.csv
390,5105,38,7,178.27,1247.89,2021-12-31,transactions.csv
391,7928,18,7,242.52,1697.64,2018-08-21,transactions.csv
392,6909,40,2,325.03,650.06,2023-12-15,transactions.csv
393,2558,40,7,461.24,3228.68,2015-05-28,transactions.csv
394,2391,19,1,295.37,295.37,2024-04-15,transactions.csv
395,3457,16,2,176.91,353.82,2022-05-22,transactions.csv
396,900,17,5,358.67,1793.35,2022-01-02,transactions.csv
397,9433,36,6,253.1,1518.6,2017-03-06,transactions.csv
398,6244,34,1,99.92,99.92,2021-04-22,transactions.csv
399,4737,8,6,294.99,1769.94,2015-06-26,transactions.csv
400,8513,35,8,156.12,1248.96,2022-09-09,transactions.csv
401,9660,30,4,403.6,1614.4,2024-05-11,transactions.csv
402,4936,29,9,398.08,3582.72,2024-09-27,transactions.csv
403,1501,47,4,48.75,195.0,2024-12-23,transactions.csv
404,643,3,10,5.01,50.1,2022-06-29,transactions.csv
405,1245,7,1,182.89,182.89,2022-06-22,transactions.csv
406,4615,35,7,131.16,918.12,2021-08-05,transactions.csv
407,4964,44,6,234.59,1407.54,2019-09-14,transactions.csv
408,3551,1,2,134.45,268.9,2016-09-11,transactions.csv
409,4068,12,2,350.23,700.46,2020-04-29,transactions.csv
410,3501,24,9,176.67,1590.03,2015-07-05,transactions.csv
411,53,23,3,172.28,516.84,2024-05-10,transactions.csv
412,3397,4,7,478.07,3346.49,2019-04-12,transactions.csv
413,9772,22,5,295.51,1477.55,2024-08-08,transactions.csv
414,3,32,2,187.78,375.56,2023-11-12,transactions.csv
415,9445,33,10,232.74,2327.4,2018-04-14,transactions.csv
416,7541,28,2,423.03,846.06,2023-06-04,transactions.csv
417,8216,8,6,38.62,231.72,2017-03-15,transactions.csv
418,4101,18,3,479.02,1437.06,2017-10-05,transactions.csv
419,9718,24,2,309.96,619.92,2020-04-27,transactions.csv
420,5020,10,1,17.67,17.67,2018-07-28,transactions.csv
421,1510,23,4,274.53,1098.12,2016-12-31,transactions.csv
422,6747,16,3,446.93,1340.79,2015-05-05,transactions.csv
423,1978,11,5,97.38,486.9,2020-04-19,transactions.csv
424,6584,13,6,339.26,2035.56,2021-12-30,transactions.csv
425,6858,41,4,108.82,435.28,2015-10-25,transactions.csv
426,6018,6,7,181.32,1269.24,2020-03-16,transactions.csv
427,8980,45,7,471.06,3297.42,2016-10-13,transactions.csv
428,8301,21,6,416.61,2499.66,2016-10-31,transactions.csv
429,8859,31,3,473.98,1421.94,2020-08-27,transactions.csv
430,7489,24,10,46.9,469.0,2018-12-24,transactions.csv
431,1656,18,10,108.37,1083.7,2020-11-26,transactions.csv
432,7380,11,2,325.96,651.92,2024-03-24,transactions.csv
433,3190,47,9,172.91,1556.19,2023-08-10,transactions.csv
434,7558,48,7,32.28,225.96,2022-04-14,transactions.csv
435,1786,36,1,258.74,258.74,2020-01-05,transactions.csv
436,7327,10,3,165.41,496.23,2017-03-04,transactions.csv
437,9972,44,2,435.68,871.36,2024-05-01,transactions.csv
438,8481,6,8,483.61,3868.88,2024-11-16,transactions.csv
439,4617,43,1,113.23,113.23,2019-11-09,transactions.csv
440,5703,40,3,9.24,27.72,2023-08-20,transactions.csv
441,6845,20,3,234.51,703.53,2022-03-26,transactions.csv
442,3888,3,8,66.64,533.12,2024-01-15,transactions.csv
